Vessel,Mean_Flow,Peak,PI,RI,Reversal
Aorta,4.340036274765898,29.713828799999998,6.846447124653702,1.0000000016971478,True
R-ICA,0.2696767745883171,0.74916432,2.3375611895475013,0.8198000139675632,False
L-ICA,0.24541552377902096,0.65646708,2.2264211635283204,0.8086759963652709,False
R-MCA,0.07963236933499045,0.139082004,1.1631500302390334,0.6659696447859639,False
L-MCA,0.08652228290684474,0.145535094,1.1468844125025957,0.6818359398592893,False
Basilar,0.08773327478829787,0.17301112800000001,1.410281197169028,0.7151481481584236,False
R-PCA,0.030687571995895526,0.069868236,1.7435768853644225,0.7658149720568299,False
L-PCA,0.03631496212134832,0.082569984,1.7099113580927094,0.7520331625594114,False
R-ACA,0.06428635960155148,0.175136526,2.2851366372354773,0.8166749042401356,False
L-ACA,0.04872318164516128,0.13887159,2.4160141071511982,0.8270819539115235,False
